id,category,tamil,translit,english,image
19,conversation,எங்ேக ேபாகிறாய்?,Enke pokiray?,Where are you going?,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJg1syRBXDwAUVSdV6teLHlCNcQC7JEDHBtgGroDxe4kWdugsuYDxavxDoOrg&s
20,conversation,நீ என்ன ெசய்து ெகாண்டிருக்கிறாய்?,Ni enna ceytu kontirukkiray?,What are you doing?,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlws0Zta5eZhnMEuD0F6g35ySfB5wGUCohYLm_utocJg2eCYSiU-ooDcsK1B4&s
21,conversation,நீங்கள் எங்கிருந்து வருகிறீர்கள்?,Ninkal enkiruntu varukirirkal?,Where are you from?,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKj0UFATMJyGlFi_l2wKNxtnk7s2V0SuCubBfgTXxkNlXJ_qttpzy6H54Mh5c&s
22,conversation,நான் இருந்து…,Nan iruntu…,I am from … .,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoH6TMth9oRJA2DoiTw2Y7zI78fRHptvwWXJqx0DK78p5N7FrLTRFkzntU3Os&s
23,conversation,நீங்கள் இங்ேக விரும்புகிறீர்களா?,Ninkal inke virumpukirirkala?,Do you like it here?,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrxAwi5i45OhcuS-MExzuLHG78NeiMco_9peJhSxKRNWv3uVeBZbHUB0YrjA&s
24,conversation,"ஆம், நான் இங்ேக விரும்புகிேறன்","Am, nan inke virumpukiren","Yes, I like it here.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7BLIajezsidbjd719TGWvg0PZofqpY-MWQpxmPiu7yzxs-8GeckNv6VcdlA&s
25,conversation,நீங்கள் எவ்வளவு காலமாக இங்கு இருக்கிறீர்கள்?,Ninkal evvalavu kalamaka inku irukkirirkal?,How long are you here for?,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9GG0OMhkmsbIqy6fU9qdPmFstBQK9IsNdzqQ4mDZpo0YFCNET6vWG7YxEpoU&s
26,conversation,உங்கள் வயது என்ன?,Unkal vayatu enna?,How old are you?,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1j0DkBVOmafiB0js6mPmuh2hHKlaLD_SiG4aMmqQSuqLfDm03TDrlCD8ovf4&s
27,conversation,எனக்கு … வயது,Enakku… vayatu,I am … years old.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkQNUK6Uyd2N16gNg4cVNIIbPee2e0jmjsymI2iI90kHOdVEdObm1o17w8oT4&s
28,conversation,உங்களுைடய ெதாழில் என்ன?,Unkalutaiya tolil enna?,What is your occupation?,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOeMoy-V2sAiPr4ihBCprtVfGrqX4ytgQjzFJ_J0FNXK8uAzMdbcOEaQj6rg&s
29,conversation,நான் ஒரு …,Nan oru…,I am a …,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYvglQwTMZ66ueXs4o0UfMLU22h1LFShriYLMpXtFclzq_wJQFeXsJ9IGYl7E&s
30,conversation,நான் ேவைல ெசய்கிேறன்…,nan velai ceykiren…,I work in …,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJvhCv-BmyE9fCIdJMrlzeujD-Gk6YjSoMUIj6cqhCYtTnk5vdaNZVWPc1_A&s
31,conversation,நான் ஒரு மாணவன்,nan oru manavan,I am a student.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUjIcpQVrdkPtXfo36IsFJetL2IDZYLqKr80gVG1grHeIrFzah2spEJuW0IA&s
32,conversation,நான் ஓய்வு ெபற்றவன்,nan oyvu perravan,I am retired.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN6soVJc1jnn0NwCpbjngfJ9Sv6bhJmAU5FYAm957OEaPHDAAi-SHCFjrdWqs&s
33,conversation,"உங்களுைடயது என்ன…? (மின்னஞ்சல், ெதாைலேபசி எண், முகவரி)","Unkalutaiyatu enna…? (Minnancal, tolaipeci en, mukavari)","What is your … ? (email, phone number, address)",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSz7-ZxdZSrG9ESEazQ_08aKtXeWzfDug1gD0LXuE0hbKhP02ttGPu-3nY5Mg&s
34,conversation,"இேதா என் … . (மின்னஞ்சல், ெதாைலேபசி எண், முகவரி)","ito en… . (Minnancal, tolaipeci en, mukavari)","Here is my …. (email, phone number, address)",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIY1fGrrynhP8m4EWyoCujBXb0UV250L-CXm0ZxfgTzGFKuQMdHlKmw_Xhdfw&s
35,conversation,நீங்கள் Facebook அல்லது Twitter இல் இருக்கிறீர்களா?,ninkal Facebook allatu Twitter il irukkirirkala?,Are you on Facebook or Twitter?,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSm6gunfneu8cZp9ozRTZCrKpQWQ9f9pdX6PBxFtt4AMaMvZ7vIU6pcrVPTiA&s
36,conversation,ெதாடர்பில் இருங்கள்!,Totarpil irunkal!,Keep in touch!,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOxf3koBKL3XgAoJLVyYhRYu9HsgrtCqKDQw7MBq_O8EjC8IWK7v3VsVCpig&s
